Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Total_Purchases,Average_Spend,Family_Size,Age,Engagement,Spending_Ratio,Customer_Days,Customer_Year,Customer_Month,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,Age_Group,Income_Level,Spending_Level
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,22,70.30434782608695,1,69,0.3728813559322034,0.027812655876434,663,2012,9,0,0,1,0,0,0,0,1,0,0,4.907177410526789,-1.418973950634444,-2.9652885700742244,-0.7531507750891211,0.6126290770880528,-0.2936249708320933,-1.2829819999340752,1.6381474443156587,-0.6560064108790316,0.40798740592588273,-0.3352641078347317,-0.4743063422738107,0.20038932000880474,-0.2580784996153198,-0.5065653521442537,0.1404346729944448,-0.30391736442196454,0.05711866955263398,-0.947692470872311,-1.3223665482587466,1.111815136541869,0.9719719458270665,-0.8652666418887499,0.2759960268983503,1.2362913804917681,Senior,Medium,High
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,4,5.4,3,72,0.1025641025641025,0.0005825871183514,113,2014,3,0,0,1,0,0,0,0,1,0,0,-3.354716016965041,1.3855837555224078,1.5753328189678728,-0.39442041175775533,1.5063184006194268,-0.386197579103521,-1.223970120063661,1.2124949743998197,-0.8217217470808529,0.6911707254198043,-0.38835511768772396,0.19635283568375902,-0.11163561238475668,-1.0322376470875645,-0.4455637802514988,-0.41463535429379605,0.38637258914634043,1.02514080456961,-0.6488092714748164,-0.5407642358983565,-0.03619328242418595,-0.010585370041746962,0.013301301776546958,0.13530503627855195,-0.02543564542373269,Senior,Medium,Low
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,20,36.95238095238095,1,61,0.7407407407407407,0.010835870081269,312,2013,8,0,0,1,0,0,0,0,0,1,0,2.062370382304221,0.5042766706843805,-0.17146831573532478,-1.4871763222729137,-0.1503821377351612,-0.8096053591710524,-0.9494955542057087,-1.7409865479530924,-0.27190809366997803,-0.46624490124296547,-1.0783071471199097,0.4132726915322347,-0.031575315279125035,0.5662243282059028,0.9114191279634142,-0.24083270961012582,-0.4819997421651629,-0.9350359135005695,0.020496100618003766,0.5121659051457621,0.3287998205281177,0.15958073910281725,-0.3863955637684625,-0.3246348596827569,-0.1097169611892342,Middle_Age,High,Medium
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,6,7.571428571428571,2,42,0.2222222222222222,0.0019889668630615,139,2014,2,0,0,1,0,0,0,0,0,1,0,-3.143381221000099,2.1957612639922406,0.07129819972226045,-0.4025304409061602,1.2458510599675814,-0.5925481087679566,-0.8056783866116488,-1.0671344870236663,1.0482769928340854,-0.6604419762327738,-1.0875785853197644,0.05077986185299995,-0.11638262974138247,0.6835830956841692,-0.4402341601348253,0.2995302920562518,-0.31349737208107475,-1.0604364400111974,0.22458369168487452,0.14853991161452018,-0.1994934266475585,-0.008380015659169663,-0.09246049316488314,-0.43538995686562715,-0.3097899493642826,Young,Low,Low
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,14,28.133333333333333,2,45,0.1473684210526315,0.0072391669811644,161,2014,1,0,0,0,0,1,0,1,0,0,0,-0.622518545894363,0.982649996860326,1.523614373684795,-0.0717384739437986,-0.40964094183655375,0.8181055785610785,1.6333747318753944,1.911472449871848,1.1844659696390107,-1.4688249042239903,-0.2515896855842984,0.24689570883753642,-0.07708669268670931,0.5956734779688371,-0.5642825056016084,0.39622696716631256,0.05886648473234219,-1.5600773819177145,1.0965475524034112,-0.3991902812699682,0.6615139894936977,-0.1346927829273049,-0.36080429166312555,0.1838609883627129,0.787601391687844,Young,Medium,Medium
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,20,34.095238095238095,2,59,1.1764705882352942,0.0114534344306875,293,2013,9,0,0,0,1,0,0,0,0,1,0,0.9536494841279614,-0.937388311469033,1.2681902924570687,-0.17029542733973124,-1.6720294775119087,-0.5508351702929475,-1.1749766131221995,-1.6109230368835317,1.2114775640273097,1.4857515308017937,-0.7731568761457235,-0.013910734848898572,-0.28528944405773327,0.2542944003520714,0.7753715815216866,-0.32535371557682974,-0.07360266802665988,-0.3032565048822709,0.3210541540689148,0.7365726085603345,-0.009239731213343056,-0.23974534151534477,-0.559883818567313,-0.5033287663506195,-0.5174871919231511,Middle_Age,Medium,Medium
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,17,32.77777777777778,2,55,0.4857142857142857,0.0106046444748004,593,2012,11,0,0,1,0,0,1,0,0,0,0,0.7999783599747055,-2.366259050321659,-0.8106888540931834,-1.4768053262023475,0.5512611951485247,-0.33698717490166225,-0.6693456284536403,-0.5342154723564715,-1.4803913446166785,0.08290776154585551,1.7825040066538225,-0.06625463366773097,-1.4780736902976552,1.2547609351680489,0.01756773295043171,0.07052139360937427,0.5357997982571511,-0.12505230940999312,0.2599759234791385,0.7551601159405602,0.044485526328747506,-0.21068772579811368,-0.5543579397100977,-0.3714424351437252,-0.42432131372698373,Middle_Age,Medium,Medium
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,8,18.77777777777778,2,41,0.2424242424242424,0.005051561799432,417,2013,5,0,0,0,0,1,0,1,0,0,0,-2.5407900551546523,0.06581221153669695,-0.5269670465011663,0.9380831653779217,-0.9193539215773413,1.3798499484252291,1.1461451856757576,0.5655146710993243,0.08588685290958564,-1.2806585864714757,-0.6073948941744179,0.057630759315399266,-0.458999122569651,0.46551559469066334,-0.2868844044077164,0.26683470752467153,-0.16566204724859812,-1.5101194890932539,0.6627132803287211,-0.385008331291466,0.03156539874751404,0.34108637568895195,0.4786323547439557,-0.03319491151981722,-0.6006475202186828,Young,Low,Medium
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,5,7.666666666666667,2,52,0.25,0.0015155508697944,388,2013,6,0,0,0,0,1,0,0,0,1,0,-3.0802716188025596,0.17976658736713388,-1.0107537587050317,2.2318505961157507,-0.8160874119440948,-0.4836378581520094,-1.1753243830771671,-0.6832291454871345,0.2875929033449191,-1.759215314401415,-0.9599808012030561,-1.0647434351849432,-0.4464737004571939,-0.011478174978071649,-0.36410575091045794,0.25228412853799564,0.08312283348527036,-1.6041101768704593,-0.23459145133079387,-0.8566780480080982,0.41918003554390443,0.7969347150830909,-0.2586800009851771,-0.6187847836373093,0.715573561083703,Middle_Age,Low,Low
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,1,24.5,3,76,0.0144927536231884,0.0086741016109045,108,2014,3,0,0,0,0,1,0,0,0,1,0,-5.00858100704326,-0.5867380173307182,1.068791834490506,2.0562655540273904,0.6491921859836287,-0.9955740357270929,-0.7949690624746163,0.6779306964371158,1.6430009597686173,-2.4414042953131543,-0.0036918801261284872,-2.418716348916542,1.729784731850603,0.48296023466752047,1.2862517874829038,-0.3174400593783577,-0.3598538463384114,-0.2794218010944287,-0.9961730604836493,-0.7995163856532599,0.8820892634718359,1.6566593231390336,-0.12374689827400857,3.0949506023520335,-1.6055834655118408,Senior,Low,Low
